Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
06,Kenneth P. Dietrich School of Arts and Sciences,6400,622954,"JACKSON, JULIAN",FLAT A 123-125 GLOUSCESTER PL,,LONDON,,W1U 6J2,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,331957,"MIGNOLO, WALTER",109 STONERIDGE DRIVE,,CHAPEL HILL,NC,27514,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,615293,"TADDEO, ANTHONY",335 BONNIEWOOD DR,,CLEVELAND,OH,44110,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,610574,"ESCOBAR, JESUS R",860 N LAKE SHORE DR APT 17L,,CHICAGO,IL,60611,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,296750,"PEVEHOUSE, JON C",1 VIRGINIA TERRACE,,MADISON,WI,53726,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,505797,WYLIE AGENCY LLC,"250 WEST 57TH STREET, SUITE 2114",,NEW YORK,NY,10107,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,564313,"CLOTAIRE, TIFFANY",907 BENTON AVE,,PITTSBURGH,PA,15212,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,393726,"KAGANOVSKY, LILYA",504 S WILLIS AVE,,CHAMPAIGN,IL,61821,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,625294,"TAGLIACOZZO, ERIC",102 CHRISTOPHER CIR,,ITHACA,NY,14850,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,203319,"WELSH, SHARON LEE",700 HICKORY DRIVE,,ALIQUIPPA,PA,15001,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,131831,"KRAULAND, MARY ANN",222 LAWRENCE AVE,,PITTSBURGH,PA,15238,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,619691,"SCHELLMAN, HEIDI M",1130 SE RIVERGREEN AVE,,CORVALLIS,OR,97333,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,111920,UNIVERSITY OF UTAH,ORDER FULFILMENT DIV,5201 DUFFERIN ST,DOWNSWEIN,,,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,624263,"GARZA, THOMAS JESUS",4908-I DUVAL ST,,AUSTIN,TX,78751,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,623027,"MATSUDA, MATT KEOKI",60 GRAMERCY PARK N 1G,,NEW YORK,NY,10010,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,623036,"SCOTT III, JULIUS S",3811 SANTA FE TRAIL,,ANN ARBOR,MI,48108-2748,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,622955,"DESBARATS, CATHERINE",3485 AVE,,WESTMORE,,H4B 1Z7,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,425603,"FIELDS-BLACK, EDDA L",320 NORTH LANG AVENUE,,PITTSBURGH,PA,15208,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,623478,"SEIFRID, THOMAS JOHN",19413 CHRISTINA CT,,CERRITOS,CA,90703,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,612586,"SUBRAHMANYAM, SANJAY",10960 WELLWORTH AVENUE #303,,LOS ANGELES,CA,90024,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,619702,"GERBER, ELISABETH RAE",2442 ADARE CR,,ANN ARBOR,MI,48104,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,563766,"VAN HARLINGEN, DALE J",2310 ST ANDREWS ROAD,,URBANA,IL,61802,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,610041,"BLINT, RICHARD ANTHONY",650 W 171ST ST APT 4B,,NEW YORK,NY,10032,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,609941,"ARMSTRONG, AMARYAH SHAYE","1233 LEWIS STREET, APT. 101",,NASHVILLE,TN,37210,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,609940,"TILLET, SALAMISHAH MARGARET",35 KRUEGER COURT,,NEWARK,NJ,07103,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,622794,WEST PHILADELPHIA ORCHESTRA,3118 POTSHOP RD,,EAST NORRITON,PA,19403,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6900,143491,AMERICAN ACADEMY IN ROME,7 EAST 60TH STREET,,NEW YORK,NY,10022-1001,1000
94,School of Computing and Information,6900,247115,UCGIS,PO BOX 612,,ITHACA,NY,14851,1000
89,V C Human Resources,6400,623937,GRAMERCY PARK WEALTH ADVISORS LLC,2400 BARTON AVE,,NASHVILLE,TN,37212-4205,1000
35,School of Medicine,7140,375172,MOSHIER STUDIO,201 S HIGHLAND AVENUE,SUITE 203,PITTSBURGH,PA,15206,1000
80,Athletics,6400,588194,"PCG-SDM HOLDINGS, LLC","5646 MILTON STREET, SUITE 221",,DALLAS,TX,75209,1000
80,Athletics,6400,459177,ROBERT W MAXWELL MEMORIAL FOOTBALL CLUB,1600 SENECA RUN,,AMBLER,PA,19002,1000
80,Athletics,6800,603868,SAP PRODUCITONS LLC,177 E MITCHELL HAMMOCK RD,,OVIEDO,FL,32765,1000
22,School of Education,6400,251741,"SMITH, JASON R",417 E FAIRFIELD AVE,,NEW CASTLE,PA,16105,1000
