RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,Szipcode,Amount,
01,Chancellor,6000,119588,UNIVERSITY OF PITTSBURGH BOOK CENTER,4000 FIFTH AVENUE,,PITTSBURGH,PA,15213,109,
01,Chancellor,6000,262228,AMAZON WEB SERVICES INC,PO BOX 530958,,ATLANTA,GA,30353-0958,278,
01,Chancellor,6400,496436,"PELC, SARAH M",6810 PERRYSVILLE AVE,,PITTSBURGH,PA,15202,357,
02,Secretary,6400,480526,"KEPPLER, PAUL N",422 SAMPLE STREET,,MILLVALE,PA,15209,500,
01,Chancellor,6400,385600,"BAHLER, AMBER L",463 MARIETTA PLACE,,PITTSBURGH,PA,15228,714,
01,Chancellor,6400,512181,"RANK LEV, KATY",1225 DUFFIELD STREET,,PITTSBURGH,PA,15206,1000,
01,Chancellor,6900,288694,PARS INTERNATIONAL CORP,102 WEST 38TH ST,,NEW YORK,NY,10018,1000,
01,Chancellor,7400,148892,NOMMO PRODUCTIONS,236 ORCHARD PLACE,,PITTSBURGH,PA,15210,1000,
02,Secretary,6400,197483,WARREN ASSOCIATES,2901 BRIGHTON ROAD,,PITTSBURGH,PA,15212,1000,
03,Sr V C Research,6400,639581,HAMMEL GREEN AND ABRAHAMSON INC,374 CONGRESS STREET SUITE 400,,BOSTON,MA,02210,1000,
03,Sr V C Research,6400,651866,"LANE, JULIA",4511 DALTON RD,,CHEVY CHASE,MD,20815,1000,
61,Computing Services & Systems Development,6400,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384-1877,1000,
61,Computing Services & Systems Development,6400,109211,PITTSBURGH TECHNOLOGY COUNCIL,2000 TECHNOLOGY DRIVE,SUITE 100,PITTSBURGH,PA,15219,1000,
80,Athletics,6400,374679,"SCHINTZ, PETER JOHN",3200 DANIEL LANE,APT 306,MONROEVILLE,PA,15145,1000,
80,Athletics,6400,643646,"LYNCH, PATRICK AARON",606 EAGLE RD APT 1C,,GREENSBORO,NC,27407,1000,
80,Athletics,6400,659031,"BALL, BRADLEY M",PO BOX 1335,,UNIONTOWN,PA,15401,1000,
80,Athletics,6800,603868,SAP PRODUCITONS LLC,177 E MITCHELL HAMMOCK RD,,OVIEDO,FL,32765,1000,
80,Athletics,7100,350652,"BUDD BAER, INC",71 MURTLAND AVENUE,,WASHINGTON,PA,15301,1000,
80,Athletics,7100,569981,P&W BMW/MINI OF PITTSBURGH,4801 BAUM BLVD,,PITTSBURGH,PA,15213,1000,
80,Athletics,7100,605799,BRUCE'S AUTO BODY,618 MCLAUGHLIN RUN ROAD,,BRIDGEVILLE,PA,15017,1000,
87,Chief Financial Officer,6000,231122,BOXWOOD TECHNOLOGY INC,130 COCKEYSVILLE ROAD,SUITE 300 MAILSTOP 127830,COCKEYSVILLE,MD,21030,1000,
35,School of Medicine,6400,155616,"BENZ JR, EDWARD J",JOHNS HOPKINS UNIVERSITY,ROOM 9026,BALTIMORE,MD,21205-0000,1000,
35,School of Medicine,6400,289035,"RUBENSTEIN, ARTHUR H",470 HIGHVIEW RD,,ENGLEWOOD,NJ,07631,1000,
35,School of Medicine,6400,342840,"FREISCHLAG, JULIE ANN",15 FALLING WATER COURT,,REISTENSTOWN,MD,21136,1000,
35,School of Medicine,6400,360920,"ADUSUMILLI, PRASAD S",530 EAST 76TH ST APT 27K,,NEW YORK,NY,10021,1000,
35,School of Medicine,6400,394018,"SZABO, GYONGYI",7 WOLFPEN LANE,,SOUTHBOROUGH,MA,01772,1000,
35,School of Medicine,6400,423266,NORTH AMERICAN VASCULAR BIOLOGY ORGANIZA,18501 KINGSHILL ROAD,,GERMANTOWN,MD,20874-2211,1000,
35,School of Medicine,6400,442825,"TOUYZ, RHIAN",335 NORTH WOODSIDE ROAD,,GLASGOW G20 6ND,,,1000,
35,School of Medicine,6400,538362,"ALPERN, ROBERT J",1 GROUSE LANE,,WOODBRIDGE,CT,06525,1000,
35,School of Medicine,6400,586659,"KANTER, STEVEN L",8620 FENWAY DR,,BETHESDA,MD,20817,1000,
35,School of Medicine,6400,611509,"CAPERS IV, QUINN",6830 BARRONSMORE WAY,,DUBLIN,OH,43016,1000,
35,School of Medicine,6400,631382,LANDESBERG DESIGN,1219 BINGHAM ST,,PITTSBURGH,PA,15203,1000,
35,School of Medicine,6400,637618,"KLOTMAN, MARY E",3960 PLYMOUTH RD,,DURHAM,NC,27707,1000,
35,School of Medicine,6400,637709,"CHARNEY, DENNIS",18 NORTH WAY,,CHAPPAQUA,NY,10514,1000,
35,School of Medicine,6400,639283,"SCHWARTZ, MARTIN A",85-D EAST BROADWAY,,MILFORD,CT,06460,1000,
35,School of Medicine,6400,639291,"BALSER, JEFFREY R",3657 RICKLAND AVE,,NASHVILLE,TN,37205,1000,
55,UPMC Hillman Cancer Center,6000,509065,BOSTER IMMUNOLEADER LTD,40459 ENCYCLOPEDIA CIRCLE,,FREMONT,CA,94538,1000,
55,UPMC Hillman Cancer Center,6400,411041,"GILLISON, MAURA",4033 AMHERST ST,,HOUSTON,TX,77005,1000,
55,UPMC Hillman Cancer Center,6400,429742,"PIWNICA-WORMS, HELEN",3707 ALBANS RD,,HOUSTON,TX,77005,1000,
55,UPMC Hillman Cancer Center,6400,541505,"LAMBERT, PAUL F",1242 SWEETBRIAR RD,,MADISON,WI,53705,1000,
55,UPMC Hillman Cancer Center,6400,548656,"IMPERIALE, MICHAEL J",5895 VERSAILLES AVE,,ANN ARBOR,MI,48103,1000,
55,UPMC Hillman Cancer Center,6400,563451,"JUNG, JAE UNG",2722 SLEEPY HOLLOW PLACE,,GLENDALE,CA,91205,1000,
55,UPMC Hillman Cancer Center,6400,614874,"GIULIANO, ANNA REGINA",5018 WESLEY DR,,TAMPA,FL,33647,1000,
55,UPMC Hillman Cancer Center,6400,630763,COHEN CONSULTING INC,5500 BEAUMONT AVE,,LA JOLLA,CA,92037,1000,
55,UPMC Hillman Cancer Center,6400,641036,"DUSETZINA, STACIE B",6429 BRESSLYN RD,,NASHVILLE,TN,37205,1000,
55,UPMC Hillman Cancer Center,6400,645706,"STEWART-WIGGLESWORTH, SHEILA",6535 SAN BONITA,,CLAYTON,MO,63105,1000,
55,UPMC Hillman Cancer Center,6400,650694,"WONG, KWOK KIN",49 COLUMBIA RD,,ARLINGTON,MA,02474,1000,
55,UPMC Hillman Cancer Center,6400,651336,"ROTHSTEIN, RODNEY",18 WARNER RD,,MAPLEWOOD,NJ,07040,1000,
55,UPMC Hillman Cancer Center,6400,654059,"CONEJO GARCIA, JOSE",3009 W SAN JOSE ST,,TAMPA,FL,33629,1000,
55,UPMC Hillman Cancer Center,6400,655253,"RUGGERO, DAVIDE",245 HILLSDALE WAY,,EMERALD HILLS,CA,94062,1000,
55,UPMC Hillman Cancer Center,6400,655398,"FLEMINGTON, ERIK KOLSTAD",6240 CARISON DR,,NEW ORLEANS,LA,70122,1000,
55,UPMC Hillman Cancer Center,6400,655412,"CULLEN, BRYAN RICHARD",6320 MIMOSA DR,,CHAPEL HILL,NC,27514,1000,
55,UPMC Hillman Cancer Center,6400,655666,"AMBINDER, RICHARD FREDERICK",7 SELSED GARTH,,LUTHERVILLE,MD,21092,1000,
55,UPMC Hillman Cancer Center,6400,657006,"FENG, PINGHUI",4810 VIRO RD,,LA CANADA,CA,91011,1000,
85,School of Medicine Division Administration,6400,264603,"DAVIS, DENA S",524 N NEW ST,,BETHLEHEM,PA,18018,1000,
85,School of Medicine Division Administration,6400,387399,"MELLO, MICHELLE M",155 GLORIA CIR,,MENLO PARK,CA,94025,1000,
85,School of Medicine Division Administration,6400,636865,"SHARMAN, ZENA",308-1738 FRANCES ST,,VANCOUVER,,V5L 1Z6,1000,
85,School of Medicine Division Administration,6400,638138,"OKANLAMI, OLUWAFERANMI OYEDEJI",4896 LOHR RD,,ANN ARBOR,MI,48108,1000,
85,School of Medicine Division Administration,6400,649684,"HOLM, INGRID ADELE",250 WESTERLY RD,,WESTON,MA,02493,1000,
85,School of Medicine Division Administration,6400,659608,"DAWOD, SARAH",54B MAPLE ST,,PRINCETON,NJ,08542,1000,
85,School of Medicine Division Administration,6900,230929,AMERICANS FOR MEDICAL PROGRESS,908 KING STREET,SUITE 301,ALEXANDRIA,VA,22314,1000,
90,Western Psychiatric Institute and Clinic,6400,311081,"MILLER, EARL K",77 MASSACHUSETTS AVE ATTN E25-236,MASSACHUSETTS INSTITUTE OD TECH,CAMBRIDGE,MA,02139,1000,
90,Western Psychiatric Institute and Clinic,6400,382461,"SPERLING, REISA",10 AUBURN PLACE,,BROOKLINE,MA,02446,1000,
90,Western Psychiatric Institute and Clinic,6400,539021,"HEN, RENE",93 HILLSIDE AVE,,TENAFLY,NJ,07670,1000,
90,Western Psychiatric Institute and Clinic,6400,629154,"JANAK, PATRICIA HELENE",2969 HEARTHSTONE RD,,ELLICOTT CITY,MD,21042,1000,
90,Western Psychiatric Institute and Clinic,6400,637611,"VEASEY, SIGRIO C",109 KENILWORTH ST,,PHILADELPHIA,PA,19104,1000,
90,Western Psychiatric Institute and Clinic,6400,643459,"LORD, CATHERINE",445 N ROSSMORE AVE #409,,LOS ANGELES,CA,90004,1000,
90,Western Psychiatric Institute and Clinic,6400,647009,"BEARDEN, CARRIE",2213 CAMDEN AVE,,LOS ANGELES,CA,90064,1000,
90,Western Psychiatric Institute and Clinic,6400,652939,"ADELSHEIM, STEVEN N",965 VARIAN WAY,,PAL ALTO,CA,94304,1000,
90,Western Psychiatric Institute and Clinic,6400,655086,"HARVEY, ALLISON",1708 VIRGINIA ST,,BERKELEY,CA,94703,1000,
90,Western Psychiatric Institute and Clinic,6400,656019,"SABATINI, BERNARDO L",58 EVERETT ST,,NEWTON,MA,02459,1000,
90,Western Psychiatric Institute and Clinic,6800,100688,AMERICAN PSYCHIATRIC PUBLISHING INC,1000 WILSON BLVD,SUITE 1825,ARLINGTON,VA,22209,1000,
05,Student Affairs,6000,139302,BELLEFIELD PRESBYTERIAN CHURCH,4001 FIFTH AVENUE,,PITTSBURGH,PA,15213,1000,
05,Student Affairs,6400,632019,PAINTS BY KAIT LLC,872 MIDDLE RD,,PITTSBURGH,PA,15234,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6000,629688,RAPID PULSE MARKETING LLC,2402 SAUNDERS STATION RD,,MONROEVILLE,PA,15146,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,107011,LYNNE RIENNER PUBLISHERS INC,1800 30TH ST,STE 314,BOULDER,CO,80301,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,118055,"CONNORS, BARRY W",BOX 1953,DEPT OF NEUROSCIENCE,PROVIDENCE,RI,02912,1000,
