RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,ZIP code,Amount
02,SVC Engagement,6400,260417,"SMITH, JASIRI",286 ELLIOTT ROAD,,MONROEVILLE,PA,15146,1000
05,Student Affairs,7300,139302,BELLEFIELD PRESBYTERIAN CHURCH,4001 FIFTH AVENUE,,PITTSBURGH,PA,15213,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6000,673073,LUCID HOLDINGS LLC,365 CANAL ST,STE 3100,NEW ORLEANS,LA,70130,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,571136,"HUNT, ERICA",292 RUTLAND ROAD,,BROOKLYN,NY,11225,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,698620,"KING, TIFFANY",1470 BOULDERCREST RD APT P4,,ATLANTA,GA,30316,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,701100,"MAUM, COURTNEY",19 VILLAGE GREEN,,NORFOLK,CT,06058,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,318261,"WELDING, ALAN D",148 MOUNTAIN DRIVE,,CARNEGIE,PA,15106,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,690046,SCULPTURE CENTER,1834 E 123 ST,,CLEVELAND,OH,44106,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,490722,"SHAPIRO, STEVE I",107 SMOKEY WOOD DRIVE,,PITTSBURGH,PA,15218,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,349497,WOMEN OF VISIONS,PO BOX 3431,,PITTSBURGH,PA,15230-3431,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,685608,"MORELLI, MASSIMO",VIA LUIGI CASTIGLIONI 3,,MILANO,,20136,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6900,143491,AMERICAN ACADEMY IN ROME,7 EAST 60TH STREET,,NEW YORK,NY,10022-1001,1000
10,SVC and Provost,6400,535647,"WOOD, STACY E",4153 VERDANT ST,,LOS ANGELES,CA,90039,1000
10,SVC and Provost,6400,421125,"CORONADO, JORGE",1504 W EDGEWATER,,CHICAGO,IL,60660,1000
10,SVC and Provost,6400,697570,"MORTON, TERRELL RODERICK",1115 KENNESAW RIDGE ROAD UNIT 101,,COLUMBIA,MO,65202,1000
10,SVC and Provost,6400,337740,"SOUTHERS, MARK             1",3515 IOWA ST,,PITTSBURGH,PA,15219,1000
21,Katz Graduate School of Business,6000,662562,SCREEN-MAGIC INC,PCARD,,,NV,890520000,1000
21,Katz Graduate School of Business,6000,398245,STATPOINT TECHNOLOGIES INC,P O BOX 208,,ORLEAN,VA,20128,1000
21,Katz Graduate School of Business,6400,700713,"LACARRUBBA, BRANDON",617 6TH AVE W,,EAST NORTHPORT,NY,11731,1000
21,Katz Graduate School of Business,6400,617502,YOGAROOTS ON LOCATION LLC,20984 UPTOWN AVE APT 401,,BOCA RATON,FL,33428,1000
22,School of Education,6400,693478,"TESTA, NINO",626 N MONTCLAIR AVE,,DALLAS,TX,75208,1000
22,School of Education,6400,219939,JOE APPEL PHOTOGRAPHY LLC,79 HERR STREET,,PITTSBURGH,PA,15209,1000
23,Swanson School of Engineering,6800,594904,ELLA MARU STUDIO INC,1400 CALIPER OAK CIR #314,,MOUNT PLEASANT,SC,29464,1000
24,School of Law,6400,632508,"CAGLIA, MICHAEL",2082 ROCKY RIDGE RD,,ACME,PA,15610,1000
24,School of Law,6400,688856,"GIBBONS, AMIRAH",5533 FONTANA CT,,MURRYSVILLE,PA,15632,1000
24,School of Law,6400,165155,"TANSKI, SUSAN E",129 DENNY RD,,VALENCIA,PA,16059,1000
25,Graduate School of Public & International Affairs,6400,266606,HEARTH,3724 MT ROYAL BLVD STE 101,,GLENSHAW,PA,15116,1000
25,Graduate School of Public & International Affairs,6400,634749,412 FOOD RESCUE INC,6022 BROAD ST,,PITTSBURGH,PA,15206,1000
25,Graduate School of Public & International Affairs,6400,461562,ALLEGHENY YOUTH DEVELOPMENT,2700 SHADELAND AVE 2ND FL,,PITTSBURGH,PA,15212,1000
25,Graduate School of Public & International Affairs,6400,249464,MANCHESTER BIDWELL CORPORATION,"CFRE, OFFICE OF INST. ADVANCEMENT","1650 METROPOLITAN STREET, SUITE 20",PITTSBURGH,PA,15233,1000
25,Graduate School of Public & International Affairs,6400,696500,WOMEN'S CENTER OF BEAVER COUNTY,PO BOX 428,,BEAVER,PA,15009,1000
26,School of Social Work,6000,238453,ACOSA,20560 BENSLEY AVE,,CHICAGO HEIGHTS,IL,60411,1000
26,School of Social Work,6000,622717,CAMPUS MANAGEMENT CORP,5201 CONGRESS AVE,,BOCA RATON,FL,33487,1000
26,School of Social Work,6400,578228,"ANDERSON, RIANA ELYSE",1374 VILLAGE DRIVE,,DETROIT,MI,48207,1000
30,SVC Health Sciences,6000,109776,REGENTS OF THE UNIVERSITY OF CALIFORNIA,520 LEE ENTRANCE 109,,AMHERST,NY,14228,1000
30,SVC Health Sciences,6500,327889,PROTEIN LOUNGE INC,5850 OBERLIN DRIVE,SUITE 220,SAN DIEGO,CA,92121,1000
31,School of Dental Medicine,6400,113144,"WYNN, RICHARD L",713 DALE AVE,,BALTIMORE,MD,21206,1000
31,School of Dental Medicine,6400,672928,"PANTERA, PANTERA & ASSOCIATES",500 MAPLE RD,,EAST AURORA,NY,14052,1000
34,Graduate School of Public Health,6400,700786,"BIRNBAUM, LINDA S",726 SHADY LAWN CT,,CHAPEL HILL,NC,27514,1000
35,School of Medicine,6400,637709,"CHARNEY, DENNIS",18 NORTH WAY,,CHAPPAQUA,NY,10514,1000
35,School of Medicine,6400,576960,"GADD, CYNTHIA S",230 APPLETON PL #545,,NASHVILLE,TN,37203,1000
35,School of Medicine,6400,637618,"KLOTMAN, MARY E",3960 PLYMOUTH RD,,DURHAM,NC,27707,1000
