year,amount,vendor_number,vendor_name,vendor_address,purchaser_department,type
2014,1786,363684,"37SIGNALS LLC","
,  60622","Chancellor","Supplies/Equipment"
2014,3071,240436,"4IMPRINT INC","25303 NETWORK PLACE
CHICAGO, IL 60673-1253","Chancellor","Supplies/Equipment"
2014,1021,120194,"ADVANCE SIGN","1010 SAW MILL RUN BLVD
PITTSBURGH, PA 15226","Chancellor","Supplies/Equipment"
2014,4373,474294,"ALLISON MCGEARY FLORAL","3625 BUTLER STREET
PITTSBURGH, PA 15201","Chancellor","Supplies/Equipment"
2014,29533,100877,"APPLE COMPUTER INC","PO BOX 281877
ATLANTA, GA 30384","Chancellor","Supplies/Equipment"
2014,3739,219627,"ASSOCIATION FOR HEALTHCARE PHILANTHROPY","1306 LARSON DR
DANBURY, CT 06810","Chancellor","Supplies/Equipment"
2014,1205,303206,"ASSOCIATION OF PROFESSIONAL RESEARCHERS","40 SHUMAN BLVD
SUITE 325
NAPERVILLE, IL 60563-8224","Chancellor","Supplies/Equipment"
2014,1250,413077,"ASSOCIATION OF PUBLIC LAND-GRANT UNIVERS","DEPARTMENT 0545
WASHINGTON, DC 20073-0545","Chancellor","Supplies/Equipment"
2014,5135,101243,"B&H PHOTO VIDEO","119 WEST 17TH STREET
NEW YORK, NY 10011","Chancellor","Supplies/Equipment"
2014,1972,271550,"BESTBUY.COM","
,  55344","Chancellor","Supplies/Equipment"
2014,1592,101670,"BOONE BUSINESS PRODUCTS INC","2104 BABCOCK BLVD
PITTSBURGH, PA 15209","Chancellor","Supplies/Equipment"
2014,16885,185133,"CDW GOVERNMENT INC","75 REMITTANCE DR
SUITE 1515
CHICAGO, IL 60675-1515","Chancellor","Supplies/Equipment"
2014,1389,234627,"COLLEGIAN INC","123 S BURROWES ST
ACCOUNTING DEPT
UNIVERSITY PARK, PA 16801-3882","Chancellor","Supplies/Equipment"
2014,2970,102966,"COUNCIL FOR ADVANCEMENT AND SUPPORT OF E","615 16TH NW
ALBUQUERQUE, NM 87104","Chancellor","Supplies/Equipment"
2014,5729,428388,"COYNE TEXTILE SERVICES","1201 PARKWAY VIEW DR
PITTSBURGH, PA 15205","Chancellor","Supplies/Equipment"
2014,5313,267017,"CPI CREATIVE","235 COMMERCIAL AVENUE
PITTSBURGH, PA 15215","Chancellor","Supplies/Equipment"
2014,1350,527857,"DAILY PENNSYLVANIA INC","PCARD
, PA 191040000","Chancellor","Supplies/Equipment"
2014,38234,103356,"DELL MARKETING LP","DEPT AT 40275
ATLANTA, GA 31192-0001","Chancellor","Supplies/Equipment"
2014,2568,104168,"FEDEX","PO BOX 965
BROOKFIELD, WI 53008","Chancellor","Supplies/Equipment"
2014,22284,104384,"FRANKLIN INTERIORS","BOX 371161
PITTSBURGH, PA 15251-7161","Chancellor","Supplies/Equipment"
2014,1668,352628,"FTD.COM","
,  60515","Chancellor","Supplies/Equipment"
2014,2834,249978,"GE RICHARDS GRAPHICS SUPPLIES CO INC","928 LINKS AVE
PO BOX 339
LANDISVILLE, PA 17538","Chancellor","Supplies/Equipment"
