RC Number,RC Name,Category,Vendor Number,Vendor Name,Address 1,Address 2,City,State,Zipcode,Amount
01,Chancellor,6000,363684,37SIGNALS LLC,,,,,60622,"1,786"
01,Chancellor,6000,240436,4IMPRINT INC,25303 NETWORK PLACE,,CHICAGO,IL,60673-1253,"3,071"
01,Chancellor,6000,120194,ADVANCE SIGN,1010 SAW MILL RUN BLVD,,PITTSBURGH,PA,15226,"1,021"
01,Chancellor,6000,474294,ALLISON MCGEARY FLORAL,3625 BUTLER STREET,,PITTSBURGH,PA,15201,"4,373"
01,Chancellor,6000,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384,"29,533"
01,Chancellor,6000,219627,ASSOCIATION FOR HEALTHCARE PHILANTHROPY,1306 LARSON DR,,DANBURY,CT,06810,"3,739"
01,Chancellor,6000,303206,ASSOCIATION OF PROFESSIONAL RESEARCHERS,40 SHUMAN BLVD,SUITE 325,NAPERVILLE,IL,60563-8224,"1,205"
01,Chancellor,6000,413077,ASSOCIATION OF PUBLIC LAND-GRANT UNIVERS,DEPARTMENT 0545,,WASHINGTON,DC,20073-0545,"1,250"
01,Chancellor,6000,101243,B&H PHOTO VIDEO,119 WEST 17TH STREET,,NEW YORK,NY,10011,"5,135"
01,Chancellor,6000,271550,BESTBUY.COM,,,,,55344,"1,972"
01,Chancellor,6000,101670,BOONE BUSINESS PRODUCTS INC,2104 BABCOCK BLVD,,PITTSBURGH,PA,15209,"1,592"
01,Chancellor,6000,185133,CDW GOVERNMENT INC,75 REMITTANCE DR,SUITE 1515,CHICAGO,IL,60675-1515,"16,885"
01,Chancellor,6000,234627,COLLEGIAN INC,123 S BURROWES ST,ACCOUNTING DEPT,UNIVERSITY PARK,PA,16801-3882,"1,389"
01,Chancellor,6000,102966,COUNCIL FOR ADVANCEMENT AND SUPPORT OF E,615 16TH NW,,ALBUQUERQUE,NM,87104,"2,970"
01,Chancellor,6000,428388,COYNE TEXTILE SERVICES,1201 PARKWAY VIEW DR,,PITTSBURGH,PA,15205,"5,729"
01,Chancellor,6000,267017,CPI CREATIVE,235 COMMERCIAL AVENUE,,PITTSBURGH,PA,15215,"5,313"
01,Chancellor,6000,527857,DAILY PENNSYLVANIA INC,PCARD,,,PA,191040000,"1,350"
01,Chancellor,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,"38,234"
01,Chancellor,6000,104168,FEDEX,PO BOX 965,,BROOKFIELD,WI,53008,"2,568"
01,Chancellor,6000,104384,FRANKLIN INTERIORS,BOX 371161,,PITTSBURGH,PA,15251-7161,"22,284"
01,Chancellor,6000,352628,FTD.COM,,,,,60515,"1,668"
01,Chancellor,6000,249978,GE RICHARDS GRAPHICS SUPPLIES CO INC,928 LINKS AVE,PO BOX 339,LANDISVILLE,PA,17538,"2,834"
01,Chancellor,6000,229250,GIDAS FLOWERS,3719 FORBES AVE,,PITTSBURGH,PA,15213,"1,185"
01,Chancellor,6000,530334,GOLF GALAXY,PCARD,,,PA,152050000,"1,490"
01,Chancellor,6000,364181,GOOGLE INC,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,"12,766"
01,Chancellor,6000,175255,GRAPHCO,OHIO GRAPHCO INC PO BOX 72007,,CLEVELAND,OH,44192-0002,"1,083"
01,Chancellor,6000,104931,GUARDIAN STORAGE SOLUTIONS,PO BOX 408,,NEW KENSINGTON,PA,15068,"4,255"
01,Chancellor,6000,288932,GUIDESTAR - ANALYST REPORTS,427 SCOTLAND STREET,,WILLIAMSBURG,VA,23185,"1,500"
01,Chancellor,6000,163700,HALM INDUSTRIES CO INC,180 GLEN HEAD RD,,GLEN HEAD,NY,11545,"3,955"
01,Chancellor,6000,105082,HARRY GUCKERT CO,810 W N AVE,,PITTSBURGH,PA,15233,"87,523"
01,Chancellor,6000,512773,HENS AND CHICKS LLC,5892 ELLSWORTH AVE,,PITTSBURGH,PA,15232,"1,101"
01,Chancellor,6000,105224,HEPATICA,1119 S BRADDOCK AVE,,PITTSBURGH,PA,15218,"1,105"
01,Chancellor,6000,469840,JAM PAPER & ENVELOPE,,,,,07647,"10,042"
01,Chancellor,6000,387070,LEXISNEXIS RISK DATA MANAGMENT,6601 PARK OF COMMERCE BLVD,,BOCA RATON,FL,33487,"3,166"
01,Chancellor,6000,107173,MARQUIS WHO'S WHO,PO BOX 409878,,ATLANTA,GA,30384-9878,"1,356"
01,Chancellor,6000,285902,MECHLING BOOKBINDING,1124 ONEIDA VALLEY ROAD,RTE 38,CHICORA,PA,16025-3820,"3,637"
01,Chancellor,6000,120723,"MEDICAL SOURCE, INC.",PO BOX 550,,NEW CASTLE,PA,16103,"1,865"
01,Chancellor,6000,321266,MORNINGSTAR INC,225 W WACKER DR,,CHICAGO,IL,60606,"3,208"
01,Chancellor,6000,108468,OFFICE DEPOT INC,PO BOX 198030,,ATLANTA,GA,30384-8030,"20,381"
01,Chancellor,6000,262518,PAYPAL,774100,4100 SOLUTIONS CENTER,CHICAGO,IL,60677-4001,"4,787"
01,Chancellor,6000,109053,PG CALC INC,129 MT AUBURN ST,,CAMBRIDGE,MA,02138,"1,140"
01,Chancellor,6000,297210,PITTSBURGH BLADE,1106 REEDSDALE ST,,PITTSBURGH,PA,15233,"1,439"
01,Chancellor,6000,109234,PITTSBURGH POST GAZETTE,PO BOX 566,CREDIT DEPT,PITTSBURGH,PA,15230-0566,"1,556"
01,Chancellor,6000,390403,PRINTERS SERVICE,PO BOX 5070,IRONBOUND STATION,NEWARK,NJ,07105-5070,"10,284"
01,Chancellor,6000,184604,PROVANTAGE LLC,7249 WHIPPLE AVENUE NW,,NORTH CANTON,OH,44720-7143,"2,902"
01,Chancellor,6000,160951,PRSA,33 IRVING PLACE,,NEW YORK,NY,10003-2376,"2,100"
01,Chancellor,6000,519123,"REMALEY, DANIEL G",132 CAMBRIA HILL DRIVE,,TARENTUM,PA,15084,"1,800"
01,Chancellor,6000,110240,SARRIS CANDIES INC,511 ADAMS AVE,,CANONSBURG,PA,15317,"1,060"
01,Chancellor,6000,214865,STEEL CITY MEDIA,650 SMITHFIELD STREET,SUITE 2200,PITTSBURGH,PA,15222,"1,350"
01,Chancellor,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,"6,642"
01,Chancellor,6000,184133,TARGET OFFICE PRODUCTS INC,620 VANADIUM ROAD,,BRIDGEVILLE,PA,15017,"3,468"
01,Chancellor,6000,371212,USPS,,,Pittsburgh,PA,16066,"3,254"
01,Chancellor,6000,120957,VOYAGER FLEET SYSTEMS INC,PO BOX 790049,,HOUSTON,TX,77279-0049,"1,728"
01,Chancellor,6400,385821,ACCUDATA INTEGRATED MARKETING INC,2988 PAYSPHERE CIRCLE,,CHICAGO,IL,60674,"2,237"
01,Chancellor,6400,130891,ALL OCCASIONS PARTY RENTAL,1060 MONTOUR WEST INDUSTRIAL PARK,,CORAOPOLIS,PA,15108,"10,638"
01,Chancellor,6400,295146,ALPHAGRAPHICS #514,6775 NW 15TH AVENUE,,FORT LAUDERDALE,FL,33309,"2,808"
01,Chancellor,6400,321530,ALTANY PHOTOGRAPHY,937 FREEPORT RD,,NATRONA HEIGHTS,PA,15065,"1,350"
